Time [s],MideaIR
664.691673000,1
664.693317250,0
664.693823000,1
664.699059250,0
664.703421750,1
664.707842750,0
664.708347500,1
664.709992000,0
664.710497250,1
664.712142250,0
664.712647500,1
664.713217000,0
664.713722000,1
664.715366750,0
664.715872000,1
664.716441500,0
664.716947000,1
664.718592000,0
664.719097000,1
664.719666500,0
664.720172000,1
664.721816500,0
664.722321750,1
664.722891250,0
664.723396750,1
664.725041250,0
664.725546500,1
664.727191000,0
664.727696250,1
664.728266000,0
664.728771250,1
664.729340750,0
664.729846250,1
664.731491000,0
664.731996000,1
664.733640750,0
664.734145750,1
664.734715750,0
664.735221000,1
664.735790500,0
664.736296000,1
664.736865500,0
664.737371000,1
664.737940500,0
664.738445750,1
664.739015500,0
664.739520750,1
664.740090500,0
664.740595500,1
664.741165250,0
664.741670500,1
664.742240500,0
664.742745250,1
664.743315250,0
664.743820250,1
664.744390250,0
664.744895500,1
664.745465250,0
664.745970000,1
664.746540000,0
664.747044750,1
664.747615000,0
664.748120000,1
664.748690000,0
664.749195000,1
664.749765000,0
664.750269750,1
664.750840000,0
664.751344750,1
664.751914750,0
664.752419750,1
664.752989750,0
664.753494750,1
664.754064750,0
664.754569750,1
664.755140000,0
664.755644500,1
664.756214750,0
664.756719250,1
664.757290000,0
664.757794500,1
664.758364750,0
664.758869250,1
664.759439500,0
664.759944000,1
664.760514500,0
664.761019000,1
664.761589500,0
664.762094000,1
664.762664250,0
664.763169000,1
664.764814500,0
664.765318750,1
664.766964500,0
664.767469000,1
664.769114500,0
664.769618500,1
664.770189250,0
664.770693500,1
664.772339500,0
664.772843500,1
664.774489250,0
664.774993250,1
673.264426250,0
673.268818500,1
673.273208500,0
673.273743250,1
673.275358000,0
673.275893250,1
673.276432750,0
673.276968250,1
673.278585000,0
673.279118000,1
673.280732750,0
673.281268250,1
673.281808250,0
673.282343000,1
673.282882250,0
673.283418000,1
673.285033000,0
673.285568250,1
673.286109500,0
673.286643000,1
673.287183000,0
673.287718000,1
673.289333500,0
673.289867750,1
673.290407500,0
673.290942750,1
673.291485000,0
673.292018000,1
673.293632500,0
673.294167750,1
673.295783250,0
673.296317500,1
673.296856500,0
673.297392500,1
673.299009000,0
673.299542750,1
673.301158750,0
673.301692250,1
673.302232000,0
673.302767250,1
673.304383000,0
673.304917500,1
673.306532250,0
673.307067250,1
673.308683000,0
673.309217000,1
673.310831500,0
673.311367000,1
673.312982250,0
673.313516750,1
673.315132250,0
673.315666750,1
673.316207750,0
673.316741750,1
673.318358000,0
673.318891500,1
673.319431500,0
673.319966500,1
673.320506250,0
673.321040750,1
673.321581750,0
673.322115750,1
673.322656500,0
673.323191000,1
673.323731250,0
673.324266000,1
673.324806500,0
673.325340750,1
673.326956000,0
673.327490750,1
673.329106750,0
673.329640500,1
673.330181500,0
673.330715500,1
673.331256500,0
673.331790750,1
673.333406250,0
673.333968250,1
673.335556500,0
673.336118250,1
673.336631000,0
673.337193500,1
673.337706250,0
673.338268000,1
673.338781000,0
673.339342500,1
673.339856000,0
673.340417000,1
673.342005750,0
673.342566500,1
673.344156250,0
673.344715500,1
673.345230500,0
673.345789250,1
673.346305750,0
673.346838500,1
673.348456000,0
673.348988000,1
673.350605750,0
673.351114750,1
673.356347750,0
673.360714500,1
673.365131000,0
673.365664500,1
673.367280750,0
673.367815000,1
673.368356750,0
673.368890250,1
673.370507000,0
673.371040500,1
673.372679750,0
673.373190000,1
673.373754250,0
673.374265000,1
673.374829250,0
673.375339750,1
673.376979250,0
673.377489500,1
673.378053500,0
673.378564250,1
673.379128250,0
673.379639250,1
